dyad,statelno,statelab,statehno,statehab,conttype,begin,end,notes,version
260380,260,"GFR",380,"SWD",4,195505,199010,"Across Baltic Sea; begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
260385,260,"GFR",385,"NOR",5,195505,199010,"Across North Sea; begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
260390,260,"GFR",390,"DEN",1,195505,199010,"Begins with GFR system entry after division of GMY; ends with GMY reunification",3.1
265290,265,"GDR",290,"POL",1,195403,199010,"Begins with GDR system entry after division of GMY; ends with GMY reunification",3.1
265315,265,"GDR",315,"CZE",1,195403,199010,"Begins with GDR system entry after division of GMY; ends with GMY reunification",3.1
265365,265,"GDR",365,"USR",5,195403,199010,"Across Baltic Sea; through Kaliningrad; begins with GDR system entry after division of GMY; ends with GMY reunification",3.1
265380,265,"GDR",380,"SWD",4,195403,199010,"Across Baltic Sea; begins with GDR system entry after division of GMY; ends with GMY reunification",3.1
265390,265,"GDR",390,"DEN",3,195403,199010,"Across Mecklenburger Bucht; begins with GDR system entry after division of GMY; ends with GMY reunification",3.1
267271,267,"BAD",271,"WRT",1,181601,187001,"Ends with GMY absorption of WRT",3.1
267275,267,"BAD",275,"HSG",1,181601,186607,"Ends with GMY absorption of HSE",3.1
267300,267,"BAD",300,"AUH",3,181601,187101,"Across Lake Constance; ends with GMY absorption of BAD/BAV",3.1
269300,269,"SAX",300,"AUH",1,181601,186704,"Ends with GMY absorption of SAX",3.1
271300,271,"WRT",300,"AUH",2,181601,187001,"Across Lake Constance; ends with GMY absorption of WRT",3.1
273275,273,"HSE",275,"HSG",1,181601,186607,"Ends with GMY absorption of HSE",3.1
280365,280,"MEC",365,"USR",5,184301,186704,"Across Baltic Sea; through Lithuania; egins with MEC system entry; ends with GMY absorption of MEC",3.1
280380,280,"MEC",380,"SWD",4,184301,186704,"Across Baltic Sea; begins with MEC system entry; ends with GMY absorption of MEC",3.1
280390,280,"MEC",390,"DEN",3,184301,186704,"Across Mecklenburger Bucht; begins with MEC system entry; ends with GMY absorption of MEC",3.1
290315,290,"POL",315,"CZE",1,191811,193903,"Begins with POL system entry; ends with GMY occupation of CZE",3.1
290315,290,"POL",315,"CZE",1,194506,199212,"Resumes after GMY occupation ends; ends with dissolution of CZE",3.1
290316,290,"POL",316,"CZR",1,199301,200612,"Begins with CZR system entry",3.1
290317,290,"POL",317,"SLO",1,199301,200612,"Begins with SLO system entry",3.1
290360,290,"POL",360,"RUM",1,191811,193909,"Begins with POL system entry; ends with GMY/USR occupation of POL",3.1
290365,290,"POL",365,"USR",1,191811,193909,"Begins with POL system entry; ends with GMY/USR occupation of POL",3.1
290365,290,"POL",365,"USR",1,194506,200612,"Resumes after GMY occupation of POL ends",3.1
290366,290,"POL",366,"EST",5,191811,193909,"Across Baltic Sea; begins with POL system entry; ends with GMY/USR occupation of POL",3.1
290366,290,"POL",366,"EST",5,199109,200612,"Across Baltic Sea; resumes with EST independence from USR",3.1
290367,290,"POL",367,"LAT",1,191811,193909,"Begins with POL system entry; land border due to POL rule over Vilvius area; ends with GMY/USR occupation of POL",3.1
290367,290,"POL",367,"LAT",4,199109,200612,"Across Baltic Sea (sea border replaces land because POL lost Vilnius to LIT); resumes with LAT independence from USR",3.1
290368,290,"POL",368,"LIT",1,191811,193909,"Begins with POL independence; ends with GMY/USR occupation of POL",3.1
290368,290,"POL",368,"LIT",1,199109,200612,"Resumes with LIT independence from USR",3.1
290369,290,"POL",369,"UKR",1,199112,200612,"Begins with UKR system entry",3.1
290370,290,"POL",370,"BLR",1,199112,200612,"Begins with BLR system entry",3.1
290375,290,"POL",375,"FIN",5,191811,193909,"Across Baltic Sea; begins with POL system entry; ends with GMY/USR occupation of POL",3.1
290375,290,"POL",375,"FIN",5,194506,200612,"Across Baltic Sea; resumes after GMY occupation of POL ends",3.1
290380,290,"POL",380,"SWD",4,191811,193909,"Across Baltic Sea; begins with POL system entry; ends with GMY/USR occupation of POL",3.1
290380,290,"POL",380,"SWD",4,194506,200612,"Across Baltic Sea; resumes after GMY occupation of POL ends",3.1
290390,290,"POL",390,"DEN",4,191811,193909,"Across Baltic Sea; begins with POL system entry; ends with GMY/USR occupation of POL",3.1
290390,290,"POL",390,"DEN",4,194506,200612,"Across Baltic Sea; resumes after GMY occupation of POL ends",3.1
300325,300,"AUH",325,"ITA",1,181601,191811,"Ends with dissolution of Austria-Hungary",3.1
300327,300,"AUH",327,"PAP",1,181601,186011,"Ends with ITA absorption of PAP",3.1
300329,300,"AUH",329,"SIC",4,181601,186102,"Across Adriatic Sea; through Croatia and Naples (mainland portion of SIC); ends with ITA absorption of SIC",3.1
300332,300,"AUH",332,"MOD",1,184201,186003,"Begins with MOD system entry; ends with ITA absorption of MOD",3.1
300335,300,"AUH",335,"PMA",1,185101,186003,"Begins with PMA system entry; ends with ITA absorption of PMA",3.1
300345,300,"AUH",345,"YUG",1,187807,191811,"Through Austria-Slovenia and Hungary-Slovenia/Croatia/Vojvodina(Serbia); begins with YUG system entry; ends with dissolution of AUH",3.1
300350,300,"AUH",350,"GRC",5,186403,191811,"Across Adriatic/Strait of Otranto; hrough Croatia and Corfu; begins with GRC acquisition of Ionian Islands; ends with dissolution of AUH",3.1
300360,300,"AUH",360,"RUM",1,187807,191811,"Begins with RUM system entry; ends with dissolution of AUH",3.1
300365,300,"AUH",365,"USR",1,181601,191811,"Ends with dissolution of AUH",3.1
300640,300,"AUH",640,"TUR",1,181601,191305,"Through Bosnia (AUH) and Kosovo (TUR); ends with Ottoman losses in Balkan Wars (codified in Treaty of London)",3.1
305310,305,"AUS",310,"HUN",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.1
305310,305,"AUS",310,"HUN",1,195507,200612,"Resumes with AUS system reentry",3.1
305315,305,"AUS",315,"CZE",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.1
305315,305,"AUS",315,"CZE",1,195507,199212,"Resumes with AUS system reentry; ends with dissolution of CZE",3.1
305316,305,"AUS",316,"CZR",1,199301,200612,"Begins with CZR system entry",3.1
305317,305,"AUS",317,"SLO",1,199301,200612,"Begins with SLO system entry",3.1
305325,305,"AUS",325,"ITA",1,191909,193803,"Begins with AUS system entry; ends with Anschluss",3.1
305325,305,"AUS",325,"ITA",1,195507,200612,"Resumes with AUS system reentry",3.1
305345,305,"AUS",345,"YUG",1,191909,193803,"Through Slovenia; begins with AUS system entry; ends with AUS Anschluss with GMY",3.1
305345,305,"AUS",345,"YUG",1,195507,199201,"Through Slovenia; resumes when AUS rejoins system; ends when SLV becomes independent",3.1
305349,305,"AUS",349,"SLV",1,199201,200612,"Begins with SLV system entry",3.1
310315,310,"HUN",315,"CZE",1,191811,193903,"Begins with HUN system entry; ends with GMY occupation of CZE",3.1
310315,310,"HUN",315,"CZE",1,194506,199212,"Through Slovakia; resumes after GMY occupation of CZE ends; ends with dissolution of CZE",3.1
310317,310,"HUN",317,"SLO",1,199301,200612,"Begins with SLO system entry",3.1
310344,310,"HUN",344,"CRO",1,199201,200612,"Begins with CRO system entry",3.1
310345,310,"HUN",345,"YUG",1,191811,194104,"Through Slovenia/Croatia/Vojvodina(Serbia); begins with HUN system entry; ends with GMY occupation of YUG",3.1
310345,310,"HUN",345,"YUG",1,194410,200612,"Through Vojvodina(Serbia) and (until 1992) Slovenia/Croatia; resumes after GMY occupation of YUG ends",3.1
310349,310,"HUN",349,"SLV",1,199201,200612,"Begins with SLV system entry",3.1
310360,310,"HUN",360,"RUM",1,191811,200612,"Begins with HUN system entry",3.1
310365,310,"HUN",365,"USR",1,193911,194106,"Through Ukraine; begins with USR annexation of Galicia from POL; ends with WWII German occupation of USSR",3.1
310365,310,"HUN",365,"USR",1,194408,199112,"Through Ukraine; resumes after Ukraine recaptured from GMY; ends with UKR secession from USR",3.1
310369,310,"HUN",369,"UKR",1,199112,200612,"Begins with UKR system entry",3.1
315360,315,"CZE",360,"RUM",1,191810,193903,"Begins with CZE system entry; ends with GMY occupation of CZE",3.1
315365,315,"CZE",365,"USR",1,194506,199112,"Through Slovakia & Ukraine; begins after GMY occupation of CZE ends; ends with UKR secession from USR",3.1
315369,315,"CZE",369,"UKR",1,199112,199212,"Through Slovakia; begins with UKR system entry; ends with dissolution of CZE",3.1
316317,316,"CZR",317,"SLO",1,199301,200612,"Begins with SLO system entry",3.1
317369,317,"SLO",369,"UKR",1,199301,200612,"Begins with SLO system entry",3.1
325327,325,"ITA",327,"PAP",4,181601,186011,"Across Tyrrhenian Sea; through Sardinia; ends with ITA absorption of PAP",3.1
325329,325,"ITA",329,"SIC",1,186011,186102,"Through Papal States & Naples; begins with ITA absorption of PAP; ends with ITA absorption of SIC",3.1
325331,325,"ITA",331,"SNM",1,199203,200612,"Begins with SNM system entry",3.1
325332,325,"ITA",332,"MOD",1,184201,186003,"Begins with MOD system entry; ends with ITA absorption of MOD",3.1
325335,325,"ITA",335,"PMA",1,185101,186003,"Begins with PMA system entry; ends with ITA absorption of PMA",3.1
325337,325,"ITA",337,"TUS",4,181601,186003,"Across Ligurian Sea; ends with ITA absorption of TUS",3.1
325338,325,"ITA",338,"MLT",4,196409,200612,"Across Malta Channel (Mediterranean Sea); begins with MLT system entry",3.1
325339,325,"ITA",339,"ALB",4,191401,193904,"Across Strait of Otranto; begins with ALB system entry; ends with ITA occupation of ALB",3.1
325339,325,"ITA",339,"ALB",4,194411,200612,"Across Strait of Otranto; resumes after ITA occupation of ALB ends",3.1
325344,325,"ITA",344,"CRO",3,199201,200612,"Across Adriatic Sea; begins with CRO system entry",3.1
325345,325,"ITA",345,"YUG",1,191909,194104,"Through Slovenia; begins with ITA acquisition of Venezia Giulia (Gorizia-Gradisca/Istria/part of Carniola); ends with GMY occupation of YUG",3.1
325345,325,"ITA",345,"YUG",1,194410,199201,"Through Slovenia; resumes after GMY occupation of YUG ends",3.1
325345,325,"ITA",345,"YUG",4,199201,200606,"Across Adriatic Sea; sea contiguity with MTG begins after land contiguity ends with SLV secession from YUG; ends with MTG secession from YUG",3.1
325348,325,"ITA",341,"MNG",4,200606,200612,"Begins with MTG system entry",3.1
325349,325,"ITA",349,"SLV",1,199201,200612,"Begins with SLV system entry",3.1
325350,325,"ITA",350,"GRC",5,186102,186403,"Across Ionian Sea (though Salentina Peninsula); begins with ITA absorption of SIC; replaced by closer contiguity with GRC acquisition of Corfu",3.1
325350,325,"ITA",350,"GRC",4,186403,194104,"Across Ionian Sea; through Corfu; begins with GRC acquisition of Ionian Islands; ends with GMY occupation of GRC",3.1
325350,325,"ITA",350,"GRC",4,194410,200612,"Across Ionian Sea; resumes after GMY occupation of GRC ends",3.1
325615,325,"ITA",615,"ALG",4,196207,200612,"Across Mediterranean Sea (through Sardinia); begins with ALG system entry",3.1
325616,325,"ITA",616,"TUN",4,186102,188105,"Across Mediterranean Sea (through Sicily); begins with ITA absorption of SIC; ends with FRN occupation of TUN",3.1
325616,325,"ITA",616,"TUN",4,195603,200612,"Across Mediterranean Sea (through Sicily); resumes with TUN system reentry",3.1
325620,325,"ITA",620,"LIB",5,195112,200612,"Across Mediterranean Sea (through Sicily); begins with LIB system entry",3.1
325640,325,"ITA",640,"TUR",4,186102,191210,"Across Mediterranean Sea (through Lampedusa Island & Libya); begins with ITA absorption of SIC; ends with ITA acquisition of Libya",3.1
327329,327,"PAP",329,"SIC",1,181601,186011,"Ends with ITA absorption of PAP",3.1
327332,327,"PAP",332,"MOD",1,184201,186003,"Begins with MOD system entry; ends with ITA absorption of MOD",3.1
327337,327,"PAP",337,"TUS",1,181601,186003,"Ends with ITA absorption of TUS",3.1
327640,327,"PAP",640,"TUR",5,181601,186011,"Across Adriatic Sea (through Albania); ends with ITA absorption of PAP",3.1
329350,329,"SIC",350,"GRC",5,182801,186102,"Across Ionian Sea; begins with GRC system entry; ends with ITA absorption of SIC",3.1
329616,329,"SIC",616,"TUN",4,182501,186102,"Across Mediterranean Sea; begins with TUN system entry; ends with ITA absorption of SIC",3.1
329640,329,"SIC",640,"TUR",4,181601,186102,"Across Mediterranean Sea (through Libya); ends with ITA absorption of SIC",3.1
332335,332,"MOD",335,"PMA",1,185101,186003,"Begins with PMA system entry; ends with ITA absorption of PMA and MOD",3.1
332337,332,"MOD",337,"TUS",1,184201,186003,"Begins with MOD system entry; ends with ITA absorption of MOD and TUS",3.1
338339,338,"MLT",339,"ALB",5,196409,200612,"Across Mediterranean and Ionian Seas; begins with MLT system entry",3.1
338350,338,"MLT",350,"GRC",5,196409,200612,"Across Mediterranean Sea; begins with MLT system entry",3.1
338616,338,"MLT",616,"TUN",5,196409,200612,"Across Mediterranean Sea; begins with MLT system entry",3.1
338620,338,"MLT",620,"LIB",5,196409,200612,"Across Mediterranean Sea; begins with MLT system entry",3.1
339343,339,"ALB",343,"MAC",1,199304,200612,"Begins with MAC system entry",3.1
339344,339,"ALB",344,"CRO",4,199201,200612,"Across Adriatic Sea; begins with CRO system entry",3.1
339345,339,"ALB",345,"YUG",1,191401,193904,"Through Montenegro and Kosovo; ends with ITA occupation of ALB",3.1
339345,339,"ALB",345,"YUG",1,194411,200612,"Through Kosovo and (until 2006) Montenegro; resumes after ALB & YUG reenter system",3.1
339348,339,"ALB",341,"MNG",1,200606,200612,"Begins with MTG system entry",3.1
339350,339,"ALB",350,"GRC",1,191401,193904,"Begins with ALB system entry; ends with ITA occupation of ALB",3.1
339350,339,"ALB",350,"GRC",1,194411,200612,"Resumes after ITA occupation of ALB ends",3.1
344348,341,"MNG",344,"CRO",1,200606,200612,"Begins with MTG system entry",3.1
345348,341,"MNG",345,"YUG",1,200606,200612,"Begins with MTG system entry",3.1
346348,341,"MNG",346,"BOS",1,200606,200612,"Begins with MTG system entry",3.1
343345,343,"MAC",345,"YUG",1,199304,200612,"Through Serbia and Kosovo; begins with MAC system entry",3.1
343350,343,"MAC",350,"GRC",1,199304,200612,"Begins with MAC system entry",3.1
343355,343,"MAC",355,"BUL",1,199304,200612,"Begins with MAC system entry",3.1
344345,344,"CRO",345,"YUG",1,199201,200612,"Through Vojvodina(Serbia) and (until 2006) Montenegro",3.1
344346,344,"CRO",346,"BOS",1,199204,200612,"Begins with BOS system entry",3.1
344349,344,"CRO",349,"SLV",1,199201,200612,"Begins with CRO/SLV system entry",3.1
344350,344,"CRO",350,"GRC",5,199201,200612,"Across Adriatic and Strait of Otranto (through Othonoi Island near Corfu); begins with CRO system entry",3.1
345346,345,"YUG",346,"BOS",1,199204,200612,"Through Serbia/Kosovo and (until 2006) Montenegro; begins with BOS system entry",3.1
345350,345,"YUG",350,"GRC",1,191308,194104,"Through Macedonia; begins after Balkan wars; ends with WW2 occupation of YUG & GRC",3.1
345350,345,"YUG",350,"GRC",1,194411,199304,"Through Macedonia (FYROM); resumes after YUG reenters system; ends with MAC secession from YUG",3.1
345355,345,"YUG",355,"BUL",1,190810,194104,"Through Serbia; begins with BUL system entry; ends with GMY occupation of YUG",3.1
345355,345,"YUG",355,"BUL",1,194411,200612,"Through Serbia; resumes after GMY occupation of YUG ends",3.1
345360,345,"YUG",360,"RUM",1,187807,194104,"Through Serbia and Vojovodina; begins with YUG/RUM system entry; ends with GMY occupation of YUG",3.1
345360,345,"YUG",360,"RUM",1,194411,200612,"Through Serbia and Vojovodina; resumes after GMY occupation of YUG ends",3.1
345640,345,"YUG",640,"TUR",1,187807,191308,"Through Macedonia; begins with YUG system entry; ends with TUR losses in Balkan wars",3.1
350352,350,"GRC",352,"CYP",5,196008,200612,"Across Mediterranean Sea (through Rhodes); begins with CYP system entry",3.1
350355,350,"GRC",355,"BUL",1,191308,194104,"Through Macedonia; begins after Balkan wars; ends with GMY occupation of GRC",3.1
350355,350,"GRC",355,"BUL",1,194411,200612,"Resumes after GMY occupation of GRC ends",3.1
350620,350,"GRC",620,"LIB",5,195112,200612,"Across Mediterranean Sea; begins with LIB system entry",3.1
350640,350,"GRC",640,"TUR",1,182801,191308,"Through Macedonia; begins with GRC system entry; land contiguity ends with TUR losses in Balkan wars",3.1
350640,350,"GRC",640,"TUR",2,191308,191911,"Across Aegean Sea; sea contiguity begins with TUR losses in Balkan wars; ends with land border restoration by GRC acquisition of Western Thrace",3.1
350640,350,"GRC",640,"TUR",1,191911,194104,"Land border restored by GRC acquisition of Western Thrace; ends with GMY occupation of GRC",3.1
350640,350,"GRC",640,"TUR",1,194411,200612,"Resumes after GMY occupation of GRC ends",3.1
350651,350,"GRC",651,"EGY",5,185501,188209,"Across Mediterranean Sea; begins with EGY system entry; ends with UKG occupation of EGY",3.1
350651,350,"GRC",651,"EGY",5,193705,194104,"Across Mediterranean Sea; resumes with EGY system reentry; ends with GMY occupation of GRC",3.1
350651,350,"GRC",651,"EGY",5,194411,200612,"Across Mediterranean Sea; resumes after GMY occupation of GRC ends",3.1
352640,352,"CYP",640,"TUR",4,196008,197408,"Across Mediterranean Sea; begins with CYP system entry; sea contiguity replaced by land contiguity when TUR acquires TRNC (N.Cyprus)",3.1
352640,352,"CYP",640,"TUR",1,197408,200612,"Through TRNC (N.Cyprus); land contiguity begins when TUR acquires TRNC",3.1
352651,352,"CYP",651,"EGY",4,196008,196109,"Across Mediterranean Sea; through Syria (merged with EGY from 1958-61); begins with CYP system entry; ends when Syria leaves UAR",3.1
352651,352,"CYP",651,"EGY",5,196109,200612,"Across Mediterranean Sea; closer contiguity through Syria ends with dissolution of UAR",3.1
352652,352,"CYP",652,"SYR",4,196109,200612,"Across Mediterranean Sea; begins when SYR rejoins system separately from EGY",3.1
352660,352,"CYP",660,"LEB",4,196008,200612,"Across Mediterranean Sea; begins with CYP system entry",3.1
352666,352,"CYP",666,"ISR",4,196008,200612,"Across Mediterranean Sea; begins with CYP system entry",3.1
355360,355,"BUL",360,"RUM",1,190810,200612,"Begins with BUL system entry",3.1
355365,355,"BUL",365,"USR",5,190810,194207,"Across Black Sea; through Sevastopol (Ukraine); begins with BUL system entry; ends with GMY capture of Sevastopol",3.1
355365,355,"BUL",365,"USR",5,194405,199112,"Across Black Sea; through Sevastopol (Ukraine); begins with recapture of Sevastopol from GMY; ends with UKR secession from USR",3.1
355369,355,"BUL",369,"UKR",5,199112,200612,"Across Black Sea; begins with UKR system entry",3.1
355640,355,"BUL",640,"TUR",1,190810,200612,"Begins with BUL system entry",3.1
359360,359,"MLD",360,"RUM",1,199112,200612,"Begins with MLD system entry",3.1
359369,359,"MLD",369,"UKR",1,199112,200612,"Begins with MLD/UKR system entry",3.1
360365,360,"RUM",365,"USR",1,187807,194106,"Through Ukraine and Moldova; begins with RUM system entry; ends with WWII German occupation of Ukraine/Moldova",3.1
360365,360,"RUM",365,"USR",1,194404,199112,"Through Ukraine and Moldova; begins with end of GMY occupation of prewar Ukraine/Moldova; ends with breakup of USR",3.1
360369,360,"RUM",369,"UKR",1,199112,200612,"Begins with UKR system entry",3.1
360640,360,"RUM",640,"TUR",1,187807,190810,"Through Bulgaria; begins with RUM system entry; direct land contiguity ends with BUL independence from TUR",3.1
360640,360,"RUM",640,"TUR",5,190810,191305,"Across Black Sea; sea contiguity replaces land after BUL independence from TUR",3.1
360640,360,"RUM",640,"TUR",4,191305,194009,"Across Black Sea; sea contiguity moves closer with RUM acquisition of Southern Dobrudja (moves back with BUL reacquisition)",3.1
360640,360,"RUM",640,"TUR",5,194009,200612,"Across Black Sea; sea contiguity moves farther apart with BUL reacquisition of Southern Dobrudja",3.1
365366,365,"USR",366,"EST",1,191802,194006,"Begins with EST system entry; ends with USR absorption of EST",3.1
365366,365,"USR",366,"EST",1,199109,200612,"Resumes after EST secession from USR",3.1
365367,365,"USR",367,"LAT",1,191811,194006,"Begins with LAT system entry; ends with USR absorption of LAT",3.1
365367,365,"USR",367,"LAT",1,199109,200612,"Resumes after LAT secession from USR",3.1
365368,365,"USR",368,"LIT",1,191802,192010,"Begins with LIT system entry; ends with POL seizure of Vilnius",3.1
365368,365,"USR",368,"LIT",1,193910,194006,"Resumes with USR transfer of Vilnius to LIT; ends with USR absorption of LIT",3.1
365368,365,"USR",368,"LIT",1,199109,200612,"Resumes after LIT secession from USR",3.1
365369,365,"USR",369,"UKR",1,199112,200612,"Begins with UKR system entry",3.1
365370,365,"USR",370,"BLR",1,199112,200612,"Begins with BLR system entry",3.1
365372,365,"USR",372,"GRG",1,199112,200612,"Begins with GRG system entry",3.1
365373,365,"USR",373,"AZE",1,199112,200612,"Begins with AZE system entry",3.1
365375,365,"USR",375,"FIN",1,191712,200612,"Begins with FIN system entry",3.1
365380,365,"USR",380,"SWD",1,181601,191712,"Direct land border ends with FIN independence from USR",3.1
365380,365,"USR",380,"SWD",4,191712,191811,"Across Baltic Sea (closest=Gotland-LAT); begins when direct land border ended by FIN independence; ends when Baltic states become independent",3.1
365380,365,"USR",380,"SWD",4,194006,194107,"Across Baltic Sea (closest=Gotland-LAT); begins when USR occupies Baltics; ends with GMY expels USR from Baltics",3.1
365380,365,"USR",380,"SWD",4,194410,200612,"Across Baltic Sea (closest Gotland-LAT then Gotland-Kaliningrad after LAT independence in 1991); resumes after GMY occupation of USR ends",3.1
365385,365,"USR",385,"NOR",1,190506,191712,"Direct land border begins with NOR secession from SWE; ends with FIN independence from USR",3.1
365385,365,"USR",385,"NOR",4,191712,194004,"Across Barents Sea; sea border replaces direct land border with FIN independence from USR; ends with GMY occupation of NOR",3.1
365385,365,"USR",385,"NOR",4,194505,194702,"Across Barents Sea; resumes after GMY occupation of NOR ends; replaced by land border after USR acquires Pechenga from FIN",3.1
365385,365,"USR",385,"NOR",1,194702,200612,"Land contiguity begins when USR acquires Pechenga area from FIN",3.1
365390,365,"USR",390,"DEN",5,181601,191811,"Across Baltic Sea (closest=Bornholm-LIT); ends when Baltic states become independent from USR",3.1
365390,365,"USR",390,"DEN",5,194504,200612,"Across Baltic Sea (closest=Bornholm-Kaliningrad); begins when USR acquires Kaliningrad from GMY",3.1
365630,365,"USR",630,"IRN",1,185501,199112,"Through ARM/AZE/TKM; begins with IRN system entry; ends with dissolution of USR",3.1
365640,365,"USR",640,"TUR",1,181601,199112,"Through GRG/ARM; direct land border ends with dissolution of USR",3.1
365640,365,"USR",640,"TUR",5,199112,200612,"Across Black Sea; sea border replaces direct land border after dissolution of USR",3.1
365700,365,"USR",700,"AFG",1,192001,199112,"Through TKM/UZB/TAJ; begins with AFG system entry; ends with dissolution of USR",3.1
365701,365,"USR",701,"TKM",5,199112,200612,"Across Caspian Sea; begins with TKM system entry",3.1
365705,365,"USR",705,"KZK",1,199112,200612,"Begins with KZK system entry",3.1
365710,365,"USR",710,"CHN",1,186010,200612,"Begins with CHN system entry",3.1
365712,365,"USR",712,"MON",1,192101,200612,"Begins with MON system entry",3.1
365730,365,"USR",730,"KOR",1,188701,190511,"Begins with KOR system entry; ends with JPN protectorate over KOR",3.1
365731,365,"USR",731,"PRK",1,194808,200612,"Begins with PRK system entry",3.1
365732,365,"USR",732,"ROK",5,194906,200612,"Across Sea of Japan/East Sea; begins with ROK system entry",3.1
365740,365,"USR",740,"JPN",3,186001,194508,"Across Pacific Ocean (through RUS- and JPN-held Kurile Islands until 1875/then Kuriles-Kamchatka); begins with JPN system entry; ends with Allied occupation of JPN",3.1
365740,365,"USR",740,"JPN",2,195204,200612,"Across Pacific Ocean (through Kurile Islands-Hokkaido); resumes after Allied occupation of JPN ends",3.1
366367,366,"EST",367,"LAT",1,191811,194006,"Begins with LAT system entry; ends with USR absorption of EST/LAT",3.1
366367,366,"EST",367,"LAT",1,199109,200612,"Resumes with EST/LAT independence from USR",3.1
366375,366,"EST",375,"FIN",3,191802,194006,"Across Gulf of Finland; begins with EST system entry; ends with USR absorption of EST",3.1
366375,366,"EST",375,"FIN",3,199109,200612,"Across Gulf of Finland; resumes with EST independence from USR",3.1
366380,366,"EST",380,"SWD",4,191802,194006,"Across Baltic Sea; begins with EST system entry; ends with USR absorption of EST",3.1
366380,366,"EST",380,"SWD",4,199109,200612,"Across Baltic Sea; resumes with EST independence from USR",3.1
366390,366,"EST",390,"DEN",5,191802,194006,"Across Baltic Sea (through Bornholm); begins with EST system entry; ends with USR absorption of EST",3.1
366390,366,"EST",390,"DEN",5,199109,200612,"Across Baltic Sea (through Bornholm); resumes with EST independence from USR",3.1
367368,367,"LAT",368,"LIT",1,191811,194006,"Begins with LAT system entry; ends with USR absorption of LAT/LIT",3.1
367368,367,"LAT",368,"LIT",1,199109,200612,"Resumes with LAT/LIT independence from USR",3.1
367370,367,"LAT",370,"BLR",1,199112,200612,"Begins with BLR system entry",3.1
367375,367,"LAT",375,"FIN",5,191811,194006,"Across Baltic Sea (through Aland Islands); begins with LAT system entry; ends with USR absorption of LAT",3.1
367375,367,"LAT",375,"FIN",5,199109,200612,"Across Baltic Sea (through Aland Islands); resumes with LAT independence from USR",3.1
367380,367,"LAT",380,"SWD",4,191811,194006,"Across Baltic Sea (closest=Gotland); begins with LAT system entry; ends with USR absorption of LAT",3.1
367380,367,"LAT",380,"SWD",4,199109,200612,"Across Baltic Sea (closest=Gotland); resumes with LAT independence from USR",3.1
367390,367,"LAT",390,"DEN",5,191811,194006,"Across Baltic Sea (through Bornholm); begins with LAT system entry; ends with USR absorption of LAT",3.1
367390,367,"LAT",390,"DEN",5,199109,200612,"Across Baltic Sea (through Bornholm); resumes with LAT independence from USR",3.1
368370,368,"LIT",370,"BLR",1,199112,200612,"Begins with BLR system entry",3.1
368375,368,"LIT",375,"FIN",5,191802,194006,"Across Baltic Sea (through Aland Islands); begins with LIT system entry; ends with USR absorption of LATnds with USR absorption of LIT",3.1
368375,368,"LIT",375,"FIN",5,199109,200612,"Across Baltic Sea (through Aland Islands); resumes with LIT independence from USR",3.1
368380,368,"LIT",380,"SWD",4,191802,194006,"Across Baltic Sea (closest=Gotland); begins with LIT system entry; ends with USR absorption of LATnds with USR absorption of LIT",3.1
368380,368,"LIT",380,"SWD",4,199109,200612,"Across Baltic Sea (closest=Gotland); resumes with LIT independence from USR",3.1
368390,368,"LIT",390,"DEN",5,191802,194006,"Across Baltic Sea (through Bornholm); begins with LIT system entry; ends with USR absorption of LATnds with USR absorption of LIT",3.1
368390,368,"LIT",390,"DEN",5,199109,200612,"Across Baltic Sea (through Bornholm); resumes with LIT independence from USR",3.1
369370,369,"UKR",370,"BLR",1,199112,200612,"Begins with dissolution of USR",3.1
369372,369,"UKR",372,"GRG",5,199112,200612,"Across Black Sea (through Crimea); begins with dissolution of USR",3.1
369640,369,"UKR",640,"TUR",5,199112,200612,"Across Black Sea; begins with dissolution of USR",3.1
371372,371,"ARM",372,"GRG",1,199112,200612,"Begins with dissolution of USR",3.1
371373,371,"ARM",373,"AZE",1,199112,200612,"Begins with dissolution of USR",3.1
371630,371,"ARM",630,"IRN",1,199112,200612,"Begins with dissolution of USR",3.1
371640,371,"ARM",640,"TUR",1,199112,200612,"Begins with dissolution of USR",3.1
372373,372,"GRG",373,"AZE",1,199112,200612,"Begins with dissolution of USR",3.1
372640,372,"GRG",640,"TUR",1,199112,200612,"Begins with dissolution of USR",3.1
373630,373,"AZE",630,"IRN",1,199112,200612,"Begins with dissolution of USR",3.1
373640,373,"AZE",640,"TUR",1,199112,200612,"Begins with dissolution of USR",3.1
373701,373,"AZE",701,"TKM",4,199112,200612,"Across Caspian Sea; begins with dissolution of USR",3.1
373705,373,"AZE",705,"KZK",4,199112,200612,"Across Caspian Sea; begins with dissolution of USR",3.1
375380,375,"FIN",380,"SWD",1,191712,200612,"Begins with FIN system entry",3.1
375385,375,"FIN",385,"NOR",1,191712,194004,"Begins with FIN system entry; ends with GMY occup of NOR",3.1
375385,375,"FIN",385,"NOR",1,194505,200612,"Resumes after GMY occupation of NOR ends",3.1
380385,380,"SWD",385,"NOR",1,190506,194004,"Begins with NOR secession from SWD; ends with GMY occup of NOR",3.1
